house_floor,city,house_area,fee,house_used,estate,m2_price,street_name,house_style,property_right,field,total_price,house_decoration,sele_power,house_direction,build_area,room_link
中楼层 (共6层),北京,87.61㎡,,满五年,龙跃苑东四区,45129yuan/m2,回龙观,2室1厅1厨1卫,暂无数据,昌平,440w,简装,"
                                              ",南 北,97.5㎡,https://bj.lianjia.com/ershoufang/101102194520.html
低楼层 (共6层),北京,暂无数据,,满五年,秀水园,71097yuan/m2,甜水园,3室1厅1厨1卫, ,朝阳,550w,简装,"
                    满五年唯一 南北通透 近6号线金台路地铁 看房方便
                  ",南 北,77.36㎡,https://bj.lianjia.com/ershoufang/101102193375.html
高楼层 (共13层),北京,46㎡,,满五年,水碓子东里,66764yuan/m2,甜水园,2室1厅1厨1卫,有,朝阳,368w,简装,"
                    此房是满五年而且是业主家庭名下满五年唯一住房
                  ",南,55.12㎡,https://bj.lianjia.com/ershoufang/101102187677.html
中楼层 (共7层),北京,56.06㎡,,满五年,郁花园一里,46941yuan/m2,黄村北,2室2厅1厨1卫,暂无数据,大兴,346w,精装,"
                    房子房本已经满五年，房主在北京就这一套房子，南北通透两居室
                  ",南 北,73.71㎡,https://bj.lianjia.com/ershoufang/101102164397.html
高楼层 (共32层),北京,80.14㎡,,满五年,世纪星城三期,47651yuan/m2,通州北苑,2室2厅1厨1卫,有,通州,498w,精装,"
                    此房是满五年的业主在京无其它房产，南北通透户型，明厨明卫
                  ",南 北,104.51㎡,https://bj.lianjia.com/ershoufang/101102128663.html
中楼层 (共10层),北京,109.01㎡,,满五年,彩虹城五区,59414yuan/m2,赵公口,3室2厅1厨2卫,有,丰台,770w,其他,"
                    南北通透三居 附带有窗户储物间 中间楼层 不临街 没遮挡
                  ",南 北,129.6㎡,https://bj.lianjia.com/ershoufang/101102177211.html
中楼层 (共33层),惠州,89㎡,,满五年,花样年别样城二期,11257yuan/m2,淡水,3室2厅1厨2卫,70年,惠阳,126w,精装,"
                    此房满两年，中间楼层，朝南看花园 ，采光通风效果特好 经济实用
                  ",西南,111.94㎡,https://hui.lianjia.com/ershoufang/105101002771.html
低楼层 (共21层),北京,暂无数据,,满五年,光熙门北里,74868yuan/m2,西坝河,2室1厅1厨1卫,有,朝阳,493w,精装,"
                    此房是满五年商品房，东南向无遮挡，几乎全天采光；
                  ",东南,65.85㎡,https://bj.lianjia.com/ershoufang/101102165942.html
低楼层 (共34层),重庆,69.8㎡,,满五年,金阳易城国际,11564yuan/m2,凤天路,2室2厅1厨2卫,50年,沙坪坝,102w,精装,"
                    两房两厅两卫，建面88.21平米，套内69.8平米，户型方正，采光佳
                  ",东,88.21㎡,https://cq.lianjia.com/ershoufang/106100570337.html
中楼层 (共7层),济南,77.39㎡,,满五年,泺安家园,13248yuan/m2,泺口,2室1厅1厨1卫,暂无数据,天桥,115w,简装,"
                    满五唯一 中高楼层 采光充足 带约9平地下室 南北通透 户型方正
                  ",南 北,86.81㎡,https://jn.lianjia.com/ershoufang/103101761501.html
高楼层 (共32层),合肥,暂无数据,,满五年,新鸿意 瀚海星座,14848yuan/m2,芜湖路,2室1厅1厨1卫,70年,包河,105w,精装,"
                    满五且唯一 朝南有燃气 精装修 楼层好 视野开阔 科大东区商圈
                  ",南,70.72㎡,https://hf.lianjia.com/ershoufang/103101798634.html
顶层 (共6层),北京,73㎡,,满五年,龙华园,49072yuan/m2,回龙观,2室1厅1厨1卫,暂无数据,昌平,362w,其他,"
                    此房是满五唯一的，免征增值税和个人所得税，首套购房只有1%.
                  ",南 北,73.77㎡,https://bj.lianjia.com/ershoufang/101102154221.html
中楼层 (共18层),济南,暂无数据,,满五年,名士豪庭3区,28283yuan/m2,浆水泉区,2室2厅1厨1卫,有,历下,260w,精装,"
                    产证满5年免增值税 送12平地下室 南北通透 业主诚意出售
                  ",南 北,91.93㎡,https://jn.lianjia.com/ershoufang/103101544199.html
低楼层 (共6层),济南,99.98㎡,,满五年,无影山西路898,15935yuan/m2,无影山,3室2厅1厨1卫,暂无数据,天桥,177w,简装,"
                    此房满五年 三居室 两室朝阳一室朝北 客厅在中间 户型方正 
                  ",南 北,111.08㎡,https://jn.lianjia.com/ershoufang/103101771935.html
低楼层 (共2层),济南,暂无数据,,满五年,华信路13-1号,18111yuan/m2,七里河,2室2厅1厨1卫,暂无数据,历城,198w,简装,"
                    低楼层 大两居室 南北通透 适合各类人群 房子带地下室 
                  ",南 北,109.33㎡,https://jn.lianjia.com/ershoufang/103101792391.html
高楼层 (共6层),济南,98.2㎡,,满五年,一印单位宿舍,16479yuan/m2,长途汽车站,3室2厅1厨1卫,暂无数据,天桥,180w,精装,"
                    此房格局为两卧在南，一卧在北，中间客厅，北卧室旁边是餐厅，可改卧室，南北双阳台，北向阳台做的厨房
                  ",南 北,109.23㎡,https://jn.lianjia.com/ershoufang/103101808717.html
中楼层 (共7层),济南,82.09㎡,,满五年,金田苑,14446yuan/m2,泺口,2室2厅1厨1卫,暂无数据,天桥,133w,精装,"
                    整个小区是07年的社区、小区环境好、楼的外墙是红色的瓷砖、显干净。整套房子是正规的两室两厅、两室朝阳、进门右手边是厨房。客厅和餐厅相连、空间感好，客厅带个大北窗、采光好。
                  ",南 北,92.07㎡,https://jn.lianjia.com/ershoufang/103101752956.html
低楼层 (共18层),济南,114.04㎡,,满五年,银丰花园,25090yuan/m2,十六里河,3室2厅1厨2卫,有,市中,350w,精装,"
                    此房满五唯一，公摊18%左右，南北通透，格局好，两室一厅朝阳
                  ",南 北,139.5㎡,https://jn.lianjia.com/ershoufang/103101779042.html
高楼层 (共25层),北京,暂无数据,,满五年,电子城小区,57448yuan/m2,酒仙桥,2室1厅1厨1卫,有,朝阳,410w,毛坯,"
                    高楼层，视野和采光好；两卧室分离私密性好；毛坯房可直接装修。
                  ",西,71.37㎡,https://bj.lianjia.com/ershoufang/101102021079.html
低楼层 (共16层),北京,72.35㎡,,满五年,益丰园,46911yuan/m2,和义,2室1厅1厨1卫,有,大兴,416w,简装,"
                    此房2005年建成，商品房，两个卧室客厅朝南，户型方正，带电梯，生活成本低
                  ",南,88.68㎡,https://bj.lianjia.com/ershoufang/101102144699.html
